run_id,case_id,environment,build_version,commit_sha,executed_at_utc,tester,result,actual_result,evidence_path,defect_reference,reviewer,reviewed_at_utc,notes
"uat-local-r0-r2-2026-08-09","FE-UAT-021","local-uat","working-tree","f28d3ec","2026-08-09T07:43:00Z","automated local UAT gate","passed","Published Command Center projection loaded through the UAT identity gateway.","docs/uat/evidence/uat-local-r0-r2-2026-08-09/metadata.txt","","","","Automated contract and browser evidence only; manual business acceptance remains pending."
"uat-local-r0-r2-2026-08-09","FE-UAT-022","local-uat","working-tree","f28d3ec","2026-08-09T07:43:00Z","automated local UAT gate","passed","Published Planning projection loaded through the UAT identity gateway.","docs/uat/evidence/uat-local-r0-r2-2026-08-09/metadata.txt","","","","Automated contract and browser evidence only; manual business acceptance remains pending."
"uat-local-r0-r2-2026-08-09","FE-UAT-023","local-uat","working-tree","f28d3ec","2026-08-09T07:43:00Z","automated local UAT gate","passed","Published Performance projection loaded through the UAT identity gateway.","docs/uat/evidence/uat-local-r0-r2-2026-08-09/metadata.txt","","","","Automated contract and browser evidence only; manual business acceptance remains pending."
"uat-local-r0-r2-2026-08-09","FE-UAT-024","local-uat","working-tree","f28d3ec","2026-08-09T07:43:00Z","automated local UAT gate","passed","Published Profitability projection loaded through the UAT identity gateway.","docs/uat/evidence/uat-local-r0-r2-2026-08-09/metadata.txt","","","","Automated contract and browser evidence only; manual business acceptance remains pending."
"uat-local-r0-r2-2026-08-09","FE-UAT-025","local-uat","working-tree","f28d3ec","2026-08-09T07:43:00Z","automated local UAT gate","passed","Published Liquidity projection loaded through the UAT identity gateway.","docs/uat/evidence/uat-local-r0-r2-2026-08-09/metadata.txt","","","","Automated contract and browser evidence only; manual business acceptance remains pending."
"uat-local-r3-risk-2026-08-09","FE-UAT-026","local-uat","working-tree","f28d3ec","2026-08-09T07:48:00Z","automated local UAT gate","passed","Published Risk projection loaded through the UAT identity gateway; BE-03 UAT risk and market run lifecycle tests passed.","docs/uat/evidence/uat-local-r0-r2-2026-08-09/metadata.txt","","","","Automated UAT evidence only; durable persistence and manual business acceptance remain pending."
"uat-local-r3-market-2026-08-09","FE-UAT-027","local-uat","working-tree","f28d3ec","2026-08-09T07:51:00Z","automated local UAT gate","passed","Published Market Risk projection loaded through the UAT identity gateway; deterministic BE-03 run workflow remains covered.","docs/uat/evidence/uat-local-r0-r2-2026-08-09/metadata.txt","","","","Automated UAT evidence only; durable persistence and manual business acceptance remain pending."
"uat-local-r4-read-models-2026-08-09","FE-UAT-028","local-uat","working-tree","f28d3ec","2026-08-09T08:01:00Z","automated local UAT gate","blocked","Published Action Steering projection displayed through the UAT identity gateway; the full versioned action command lifecycle was not executed.","docs/uat/evidence/uat-local-r4-read-models-2026-08-09_fe-uat-028_2026-08-09/metadata.txt","BE-04 lifecycle/idempotency not implemented","","","Read-model integration passed; production-target case remains blocked by Create/Validate/Approve/Reject, role authorization and durable persistence."
"uat-local-r4-read-models-2026-08-09","FE-UAT-029","local-uat","working-tree","f28d3ec","2026-08-09T08:01:00Z","automated local UAT gate","blocked","Published Capital Allocation projection displayed through the UAT identity gateway; the full valuation and allocation-run lifecycle was not executed.","docs/uat/evidence/uat-local-r4-read-models-2026-08-09_fe-uat-028_2026-08-09/metadata.txt","BE-04 lifecycle/idempotency not implemented","","","Read-model integration passed; production-target case remains blocked by governed valuation/optimization runs, approval actions and durable persistence."
"uat-local-r4-read-models-2026-08-09","FE-UAT-039","local-uat","working-tree","f28d3ec","2026-08-09T08:01:00Z","automated local UAT gate","passed","Published Action Steering projection loaded through the UAT identity gateway without a mock fallback.","docs/uat/evidence/uat-local-r4-read-models-2026-08-09_fe-uat-028_2026-08-09/metadata.txt","","","","Automated read-model evidence only; BE-04 command lifecycle and manual business acceptance remain pending."
"uat-local-r4-read-models-2026-08-09","FE-UAT-040","local-uat","working-tree","f28d3ec","2026-08-09T08:01:00Z","automated local UAT gate","passed","Published Capital Allocation projection loaded through the UAT identity gateway without a mock fallback.","docs/uat/evidence/uat-local-r4-read-models-2026-08-09_fe-uat-028_2026-08-09/metadata.txt","","","","Automated read-model evidence only; BE-04 command lifecycle and manual business acceptance remain pending."
"uat-local-r4-command-runs-2026-08-09","FE-UAT-041","local-uat","working-tree","f28d3ec","2026-08-09T08:18:00Z","automated local UAT gate","passed","Server-owned Action Simulation run started through the UAT gateway; idempotency, scope, validation, segregated approval and audit events passed backend tests.","docs/uat/evidence/uat-local-r4-command-runs-2026-08-09_fe-uat-041_2026-08-09/metadata.txt","","","","Automated local UAT only; durable persistence and manual business acceptance remain pending."
"uat-local-r4-command-runs-2026-08-09","FE-UAT-042","local-uat","working-tree","f28d3ec","2026-08-09T08:18:00Z","automated local UAT gate","passed","Server-owned Capital Valuation, Allocation and Funding Scenario runs passed backend lifecycle tests; Capital Allocation start passed through the UAT browser flow.","docs/uat/evidence/uat-local-r4-command-runs-2026-08-09_fe-uat-041_2026-08-09/metadata.txt","","","","Automated local UAT only; durable persistence and manual business acceptance remain pending."
"uat-local-r4-review-2026-08-09","FE-UAT-041","local-uat","working-tree","f28d3ec","2026-08-09T08:31:00Z","automated local UAT gate","passed","Action Simulation start refreshed the context-scoped decision-run review queue; permission-aware transition controls were rendered.","docs/uat/evidence/uat-local-r4-review-2026-08-09_fe-uat-041_2026-08-09/metadata.txt","","","","Automated local UAT re-test only; production OIDC and durable review history remain pending."
"uat-local-r4-review-2026-08-09","FE-UAT-042","local-uat","working-tree","f28d3ec","2026-08-09T08:31:00Z","automated local UAT gate","passed","Capital Allocation start refreshed the context-scoped decision-run review queue; permission-aware transition controls were rendered.","docs/uat/evidence/uat-local-r4-review-2026-08-09_fe-uat-041_2026-08-09/metadata.txt","","","","Automated local UAT re-test only; production OIDC and durable review history remain pending."
"uat-local-r4-complete-2026-08-09","FE-UAT-041","local-uat","working-tree","f28d3ec","2026-08-09T08:48:00Z","automated local UAT gate","passed","Action Simulation, Prioritization and Benefit Tracking runs started from published sources; server results/lineage and review queue were verified in the browser.","docs/uat/evidence/uat-local-r4-complete-2026-08-09_fe-uat-041_2026-08-09/metadata.txt","","","","Release 4 local-UAT evidence only; production durability and identity remain pending."
"uat-local-r4-complete-2026-08-09","FE-UAT-042","local-uat","working-tree","f28d3ec","2026-08-09T08:48:00Z","automated local UAT gate","passed","Capital Valuation, Monte-Carlo-NPV, Allocation and Funding Scenario runs started from published sources; server results/lineage and review queue were verified in the browser.","docs/uat/evidence/uat-local-r4-complete-2026-08-09_fe-uat-041_2026-08-09/metadata.txt","","","","Release 4 local-UAT evidence only; production durability and identity remain pending."
"uat-local-r5-2026-08-09","FE-UAT-043","local-uat","working-tree","f28d3ec","2026-08-09T10:27:00Z","automated local UAT gate","passed","Context-scoped report lifecycle passed: create, review, independent approval and publication; Reporting Studio loaded through the UAT gateway.","docs/uat/evidence/uat-local-r5-2026-08-09/metadata.txt","","","","Local UAT only; artifact storage/export jobs and production identity remain pending."
"uat-local-r5-2026-08-09","FE-UAT-044","local-uat","working-tree","f28d3ec","2026-08-09T10:27:00Z","automated local UAT gate","passed","Published Data & Governance projection loaded through the UAT gateway and browser flow.","docs/uat/evidence/uat-local-r5-2026-08-09/metadata.txt","","","","Local UAT only; durable catalog and production identity remain pending."
"uat-local-r6-session-2026-08-09","FE-UAT-045","local-uat","working-tree","f28d3ec","2026-08-09T10:34:00Z","automated local UAT gate","passed","Secure Copilot session used the UAT context and published snapshot source; unconfigured model returned a controlled unavailable state in the browser.","docs/uat/evidence/uat-local-r6-session-2026-08-09/metadata.txt","","","","This evidence does not claim a successful Foundry response; UAT Foundry deployment and durable interaction persistence remain pending."
