case_id,release_scope,readiness,epic,journey,route,persona,viewport,priority,preconditions,steps,expected_functional_behavior,expected_visual_behavior,expected_accessibility_behavior,expected_data_and_contract_state,automation_reference,traceability,blocker,owner
"FE-UAT-001","current","ready","FE-01","Public landing","/","Prospective user","desktop and mobile","high","Platform API is unavailable","Open the root URL; inspect the product preview; activate Launch App","Landing renders without a business API request and Launch App navigates to /app/command-center","Brand and product purpose are visible in the first viewport; simulated previews are visibly labelled; no overlap or clipped text at 390x844 and 1440x900","One H1; landmarks and links have accessible names; keyboard focus is visible and follows reading order","Preview values are static simulated presentation data and are not represented as authoritative finance data","frontend/tests/e2e/smoke.spec.ts","frontend/src/pages/LandingPage.tsx;docs/frontend-backend-contracts.md","","Business owner"
"FE-UAT-002","current","ready","FE-02","Workspace shell navigation","/app/command-center","CFO","desktop","critical","Application is running at 1440x900","Open the command center; traverse every navigation group; return to Command Center","All 13 workspace destinations are reachable and the active route remains synchronized with the selected navigation item","Persistent shell has clear Steer Decide and System grouping; active item is visually distinct without shifting layout; content does not sit beneath navigation","Navigation is operable by keyboard; active state is programmatically exposed; focus is not lost after navigation","Navigation labels and routes match the checked-in route inventory","frontend/src/app/App.test.tsx;frontend/tests/e2e/smoke.spec.ts","frontend/src/app/App.tsx;frontend/src/app/navigation.ts;frontend/src/app/router.tsx","","Business owner"
"FE-UAT-003","current","ready","FE-02","Workspace shell navigation","/app/command-center","CFO","mobile 390x844","critical","Application is running at 390x844","Open the command center; open mobile navigation; choose Liquidity; close navigation","All destinations remain reachable and selecting an item closes or moves focus out of the navigation overlay","Navigation and page content fit the viewport; controls have stable dimensions; no horizontal page overflow or obscured headings","Menu has an accessible name and state; focus is contained while modal navigation is open and restored on close","Route state is frontend-owned; finance data remains unchanged by navigation","frontend/tests/e2e/smoke.spec.ts","frontend/src/components/layout/AppShell.tsx;frontend/src/app/navigation.ts","","Accessibility reviewer"
"FE-UAT-004","current","ready","FE-02","Local workspace context","/app/command-center","Finance analyst","desktop","critical","Current mock-connected build is running","Inspect company period and scenario selectors; change each value; navigate to Planning and back","Selected local values persist through workspace navigation and query keys refresh for the selected context","Each selector and surrounding status visibly says LOCAL CONTEXT; long labels wrap or truncate accessibly without moving adjacent controls","Selectors have labels; options and selected state are announced; operation does not require a pointer","Values are local presentation context and must not be submitted as authoritative identifiers","frontend/src/app/App.test.tsx","frontend/src/components/layout/AppShell.tsx;docs/frontend-backend-contracts.md","Authoritative BE-01 context binding is not complete","Engineering owner"
"FE-UAT-005","current","ready","FE-03","Platform readiness","/app/command-center","Operator","desktop","high","Frontend runs once with API ready and once with API unavailable","Observe platform status online; stop or block API; observe status; restore API","Status distinguishes ready unavailable and recovered states without blocking the public landing page","Status text and icon update without layout movement; unavailable state is prominent but does not cover workspace controls","Status is announced without repeated noisy announcements and is not communicated by color alone","Readiness uses GET /health/ready only and does not imply business data freshness","frontend/src/app/App.test.tsx","frontend/src/api/client.ts;docs/frontend-backend-contracts.md","","Operations reviewer"
"FE-UAT-006","current","ready","FE-04","Executive command center","/app/command-center","CFO","desktop tablet and mobile","critical","Mock handlers are enabled and a complete fixture exists","Open route; inspect metrics forecast liquidity risk variance actions briefing and assurance; follow Performance and Risk links","All command-center sections render and links navigate to the intended workspace","Page heading and MOCK CONNECTED status are clear; metric cards charts tables and briefing have stable hierarchy; charts are nonblank and labels remain legible after responsive reflow","Sections use headings and landmarks; chart meaning is available in text; status and trend are not color-only; interactive elements have visible focus","Displayed values match one mock snapshot and source/assurance labels; browser performs formatting only","frontend/src/pages/CommandCenterPage.test.tsx","frontend/src/pages/CommandCenterPage.tsx;frontend/src/features/command-center/mock.ts;docs/frontend-backend-contracts.md","","Business owner"
"FE-UAT-007","current","ready","FE-05","Planning workspace","/app/planning","FP&A lead","desktop tablet and mobile","high","Mock handlers are enabled and planning fixture exists","Open route; inspect forecast scenarios probability bands drivers backtest and decision signals","Planning sections render consistently for selected local context and no displayed control claims to persist a backend forecast","MOCK CONNECTED is visible; forecast lines and probability bands are distinguishable; tables scroll inside their region on narrow screens","Chart series have textual identification; tables retain headers; controls and links are keyboard reachable","Values come from the planning mock view model; no browser finance calculation or authoritative write occurs","frontend/src/pages/PlanningPerformance.test.tsx","frontend/src/pages/PlanningPage.tsx;frontend/src/features/planning-performance/mock.ts;docs/frontend-backend-contracts.md","","Finance/data owner"
"FE-UAT-008","current","ready","FE-06","Performance workspace","/app/performance","Finance controller","desktop tablet and mobile","high","Mock handlers are enabled and performance fixture exists","Open route; inspect KPI tree variance bridge accuracy anomalies and commentary queue","All performance sections represent one coherent local context and materiality signals agree across sections","MOCK CONNECTED is visible; variance bridge is nonblank; positive negative and warning states include labels or symbols; long commentary remains contained","KPI structure and variance values have text alternatives; tables and actions are keyboard usable; anomalies are not color-only","Displayed statement and KPI values are explicit fixtures rather than outputs recomputed from planning cards","frontend/src/pages/PlanningPerformance.test.tsx","frontend/src/pages/PerformancePage.tsx;frontend/src/features/planning-performance/mock.ts;docs/frontend-backend-contracts.md","","Finance/data owner"
"FE-UAT-009","current","ready","FE-07","Profitability workspace","/app/profitability","Commercial finance lead","desktop tablet and mobile","high","Mock handlers are enabled and profitability fixture exists","Open route; inspect margin summary product segment customer allocation sensitivity and margin-at-risk views","Sections render from one profitability snapshot and dimensions remain distinguishable","MOCK CONNECTED is visible; currency percentages and basis points use consistent formatting; dense tables scroll without clipping labels","Table headers identify dimensions and measures; chart data has text equivalents; status is not color-only","All margin allocation and risk values are mock outputs; browser only filters formats and visualizes","frontend/src/pages/ProfitabilityLiquidity.test.tsx","frontend/src/pages/ProfitabilityPage.tsx;frontend/src/features/profitability-liquidity/mock.ts;docs/frontend-backend-contracts.md","","Finance/data owner"
"FE-UAT-010","current","ready","FE-07","Liquidity workspace","/app/liquidity","Treasurer","desktop tablet and mobile","critical","Mock handlers are enabled and liquidity fixture exists","Open route; inspect 13-week cash working capital debt covenants stress and forecast accuracy","Liquidity sections render coherently and covenant or cash warnings are visible in their relevant context","MOCK CONNECTED is visible; cash chart is nonblank; covenant headroom and stress states have text labels; narrow tables use contained overflow","Charts and status have textual equivalents; covenant breaches are announced and not color-only; focus order follows visual order","Cash debt and covenant values are fixtures and are never calculated from displayed cards in the browser","frontend/src/pages/ProfitabilityLiquidity.test.tsx","frontend/src/pages/LiquidityPage.tsx;frontend/src/features/profitability-liquidity/mock.ts;docs/frontend-backend-contracts.md","","Finance/data owner"
"FE-UAT-011","current","ready","FE-08","Enterprise risk workspace","/app/risk","Chief risk officer","desktop tablet and mobile","critical","Mock handlers are enabled and risk fixture exists","Open route; inspect appetite exposure register aggregation limit and Risk-to-Plan sections","Risk sections render with consistent risk identities and escalation states","MOCK CONNECTED is visible; severity and limit states use words or symbols as well as color; charts and register remain legible","Risk levels and limit breaches are available to assistive technology; tables retain headers and keyboard access","Risk values are a mock projection and do not trigger or stand in for governed model runs","frontend/src/pages/RiskPage.test.tsx","frontend/src/pages/RiskPage.tsx;frontend/src/features/risk-command/mock.ts;docs/fe08-risk-contracts.md","","Security reviewer"
"FE-UAT-012","current","ready","FE-09","Treasury market risk workspace","/app/market-risk","Treasurer","desktop tablet and mobile","critical","Mock handlers are enabled and market-risk fixture exists","Open route; inspect exposure VaR and ES stress sensitivity hedge backtest and model status","Every section references a coherent model snapshot and model status is visible","MOCK CONNECTED is visible; plots are nonblank; units confidence levels horizons and timestamps are legible; dense matrices remain contained","Plots have textual summaries; model status and breaches are not color-only; tables are navigable by keyboard","VaR ES sensitivities and hedge results are fixtures and are not recomputed by the frontend","frontend/src/pages/MarketRiskPage.test.tsx","frontend/src/pages/MarketRiskPage.tsx;frontend/src/features/market-risk/mock.ts;docs/fe09-market-risk-contracts.md","","Finance/data owner"
"FE-UAT-013","current","ready","FE-10","Actions placeholder","/app/actions","Transformation lead","desktop and mobile","medium","Current application is running","Navigate to Actions; inspect route status and available content","Route resolves without an application error and does not expose a fake action workflow","Page clearly identifies Actions and UI ROUTE READY or equivalent placeholder status; it does not look like completed production functionality","Heading and placeholder status are announced and links remain keyboard reachable","No action data is claimed; current route is a placeholder despite available backend domain endpoints","frontend/src/app/App.test.tsx","frontend/src/pages/WorkspacePlaceholder.tsx;frontend/src/app/router.tsx;docs/fe10-action-capital-contracts.md","Feature page is not implemented","Business owner"
"FE-UAT-014","current","ready","FE-10","Capital placeholder","/app/capital","Investment committee member","desktop and mobile","medium","Current application is running","Navigate to Capital; inspect route status and available content","Route resolves without an application error and does not expose a fake allocation workflow","Page clearly identifies Capital and its placeholder status without presenting simulated decisions as live","Heading and placeholder status are announced and keyboard focus remains visible","No capital decision data is claimed; current route is a placeholder","frontend/src/app/App.test.tsx","frontend/src/pages/WorkspacePlaceholder.tsx;frontend/src/app/router.tsx;docs/fe10-action-capital-contracts.md","Feature page is not implemented","Business owner"
"FE-UAT-015","current","ready","FE-11","Reporting placeholder","/app/reports","Finance controller","desktop and mobile","medium","Current application is running","Navigate to Reporting; inspect route status and available content","Route resolves without an application error and cannot imply a report was generated approved or published","Page clearly identifies Reporting and placeholder status; no decorative artifact is mistaken for an approved report","Heading and placeholder status are announced; no disabled control masquerades as an operable control","No report job or artifact is requested by the current placeholder","frontend/src/app/App.test.tsx","frontend/src/pages/WorkspacePlaceholder.tsx;frontend/src/app/router.tsx;docs/fe11-reporting-copilot-contracts.md","Feature page is not implemented","Business owner"
"FE-UAT-016","current","ready","FE-11","Finance Copilot placeholder","/app/copilot","CFO","desktop and mobile","medium","Current application is running","Navigate to Finance Copilot; inspect route status and available content","Route resolves without accepting a prompt or implying a model response was generated","Page clearly identifies Finance Copilot and placeholder status; no fabricated citations or confidence are presented as live","Heading and placeholder status are announced and navigation remains keyboard usable","No prompt reaches a model and no interaction lineage is created","frontend/src/app/App.test.tsx","frontend/src/pages/WorkspacePlaceholder.tsx;frontend/src/app/router.tsx;docs/fe11-reporting-copilot-contracts.md","Feature page is not implemented","Security reviewer"
