case_id,release_scope,readiness,epic,data_flow,review_role,priority,preconditions,input_or_trigger,expected_authorization_and_scope,expected_processing,expected_persistence_and_restart,expected_lineage_and_audit,expected_api_or_artifact,negative_or_failure_case,verification_method,automation_reference,traceability,blocker,owner
"DEV-DATA-001","current","ready","BE-01","Explicit request principal parsing","Security reviewer","high","FastAPI test app is running","Request with X-User X-Roles and X-Companies headers","Roles and company scopes are parsed and enforced by protected endpoints","Malformed or missing values are normalized or rejected according to the API contract","No durable identity session is created","Actor and scope are available to downstream authorization and audit services","Endpoint returns the expected success or authorization response without exposing other-company data","Forged headers are inherently trusted and therefore cannot be production evidence","Run focused API and workspace integration tests; inspect principal object","tests/test_api.py;tests/test_workspace_integration.py","src/cfo_platform/api/principal.py;tests/test_api.py","Caller-controlled headers are a production authentication blocker","Security reviewer"
"DEV-DATA-002","production_target","planned_blocked","BE-01","OIDC principal resolution","Security reviewer","critical","OIDC provider test tenant and signed tokens are configured","Valid expired malformed and wrong-audience bearer tokens","Only verified issuer audience subject roles and company claims create a principal; least privilege is default","Authentication middleware validates token and maps immutable external identity to internal permissions","Identity mapping and authorization policy survive process restart without relying on local memory","Authentication failures and successful security-sensitive actions carry actor and correlation context without logging tokens","GET /api/v1/context/principal returns approved identity metadata only","Expired forged wrong-tenant and claim-escalated tokens return 401 or 403 and no protected work occurs","Inspect middleware configuration; decode only test tokens; execute negative integration matrix","manual security UAT","src/cfo_platform/api/principal.py;docs/backend-production-integration-roadmap.md","Production OIDC middleware and claim mapping are not implemented","Security reviewer"
"DEV-DATA-003","current","ready","BE-01","Company period scenario context resolution","Engineering owner","critical","Governed snapshots and scenarios exist for multiple companies","Call context list and resolve endpoints with explicit identifiers","Principal sees only company scopes granted to the request identity","Service derives selectable periods from governed snapshots and resolves scenario codes or governed versions without calculating finance values","Current backing stores may be in memory; restart durability is not established for all context sources","Resolution identifies exact company period scenario and source records for downstream requests","Context endpoints return deterministic lists and resolved canonical context","Unauthorized company or inconsistent identifiers return 403 or validation/not-found response","Run workspace integration tests and compare response to seeded records","tests/test_workspace_integration.py","src/cfo_platform/workspace_integration.py;docs/backend-production-integration-roadmap.md","Production identity and durable context sources are incomplete","Engineering owner"
"DEV-DATA-004","current","ready","BE-02","Command-center projection publication","Finance/data owner","critical","A canonical workspace context and source snapshots exist","Publish a command-center snapshot and request it by company period scenario","Publisher and reader must be authorized for the company context","Service stores and returns a versioned projection with metrics summaries actions briefing assurance and source IDs; no request-time finance calculation occurs","Current repository behavior is verified within one process only unless a durable adapter is configured","Projection includes as-of time source snapshot IDs and assurance/lineage metadata","GET /api/v1/command-center/overview returns the exact published projection","Unpublished context returns 404 and never placeholder finance values","Run BE-02 and workspace integration tests; compare publication and response payload","tests/test_be02_workspace_read_models.py;tests/test_workspace_integration.py","src/cfo_platform/workspace_integration.py;tests/test_be02_workspace_read_models.py","Most workspace read-model persistence remains in memory","Finance/data owner"
"DEV-DATA-005","current","ready","BE-02","Workspace projection isolation","Security reviewer","critical","Two companies have distinct published projections and scoped principals","Request each workspace with authorized and unauthorized principals","Every lookup applies company scope before returning projection existence or content","Query key includes explicit company period and scenario and cannot fall back to a process-global context","Isolation holds in current repository lifecycle; production restart proof remains blocked","Authorized reads retain source and version lineage; denied reads can be security-audited without sensitive payload","Authorized principal receives only its projection; unauthorized response contains no foreign values","Cross-company request and identifier substitution must not leak whether protected records exist","Run systematic multi-company integration matrix","tests/test_workspace_integration.py","src/cfo_platform/workspace_integration.py;tests/test_workspace_integration.py","Production identity and durable multi-tenant repository are incomplete","Security reviewer"
"DEV-DATA-006","production_target","planned_blocked","BE-02","Durable workspace read models","DBA","critical","PostgreSQL schema and migrations are deployed","Publish each workspace projection; restart API and workers; retrieve by canonical context","Write and read paths enforce the same principal company scope","Publication is transactional and uses versioned projection records for command center planning performance profitability liquidity risk market risk actions capital and reports","Every committed projection survives restart; failed transaction leaves no partial current version","Source snapshot IDs model/run IDs publisher actor and as-of metadata remain queryable and immutable","Each GET workspace endpoint returns the latest approved version or 404","Database outage rolls back publication and produces a bounded dependency error","Run container restart integration suite and inspect transaction boundaries","manual database UAT","src/cfo_platform/workspace_integration.py;docs/backend-production-integration-roadmap.md","PostgreSQL adapters and migrations are not implemented","DBA"
"DEV-DATA-007","current","ready","Data foundation","Finance CSV ingestion","Data steward","critical","Synthetic valid finance CSV and mapping are available","Submit the valid file through the ingestion service","Caller has ingest permission for the target company and cannot assign another company implicitly","Parser normalizes schema validates required fields types periods currency and dimensions and calculates quality results","Accepted dataset and snapshot currently use in-memory adapters unless explicitly configured","Input checksum mapping quality result actor and created snapshot identity are traceable","Service returns deterministic accepted records and immutable snapshot identity","Malformed rows unsupported columns and invalid periods are rejected without a partial accepted snapshot","Run data foundation tests and inspect snapshot records","tests/test_data_foundation.py;tests/test_data.py","src/cfo_platform/data_store.py;tests/test_data_foundation.py","Durable production ingestion repository is not implemented","Finance/data owner"
"DEV-DATA-008","current","ready","Data foundation","Excel ingestion and mapping","Data steward","high","Synthetic workbook with valid and invalid sheets is available","Submit workbook and explicit mapping","Caller is scoped to target company and mapping version","Reader extracts only approved sheets and applies deterministic mapping and validation rules","No partial snapshot remains after workbook or mapping rejection","Workbook checksum sheet mapping version quality findings and actor are traceable","Accepted workbook produces the same canonical data shape as equivalent CSV","Formula errors hidden invalid sheets and ambiguous headers fail with actionable findings","Run ingestion tests with synthetic workbook and compare canonical output","tests/test_data_foundation.py","tests/test_data_foundation.py;docs/cfo-product-implementation-roadmap.md","Production object upload and durable snapshot storage are incomplete","Finance/data owner"
"DEV-DATA-009","current","ready","Data foundation","Quality and reconciliation rejection","Finance/data owner","critical","Synthetic dataset contains imbalance duplicate keys and invalid values","Validate and reconcile the dataset","Only authorized reviewers can accept or publish a quality result","Quality rules report deterministic row and aggregate findings and reconciliation blocks publication when required","Rejected data does not create a publishable snapshot or mutate prior approved data","Rule versions findings source checksum actor and decision are retained in current service records","Response distinguishes errors warnings and reconciliation totals","Any critical finding prevents downstream governed use and no partial data becomes current","Run data and epic-02 tests; inspect prior snapshot remains unchanged","tests/test_data.py;tests/test_epic02_data_foundation.py","tests/test_data.py;tests/test_epic02_data_foundation.py","Durable quality result and approval persistence are incomplete","Finance/data owner"
"DEV-DATA-010","current","ready","Data foundation","Immutable snapshot identity","Engineering owner","critical","A valid normalized dataset exists","Create snapshot; retrieve by ID; attempt mutation; recreate identical input","Snapshot belongs to explicit company and authorized readers only","Service assigns deterministic content/checksum metadata and exposes immutable records","Snapshot can be retrieved during repository lifetime; production restart durability remains blocked","Snapshot links source checksum mapping quality and creation actor/time","Retrieval returns canonical values and immutable identity","Mutation is impossible or rejected; missing snapshot returns not found","Run epic-02 tests and inspect frozen/domain behavior","tests/test_epic02_data_foundation.py","src/cfo_platform/data_store.py;tests/test_epic02_data_foundation.py","Only in-memory snapshot repository exists","Engineering owner"
"DEV-DATA-011","current","ready","Governance","Scenario and model version governance","Model governance reviewer","high","Authorized creator reviewer and approver principals exist","Create scenario/model versions; validate; approve; retire","Role and company scope are enforced and creator cannot bypass required segregation","Lifecycle transitions follow allowed state machine and validation rules","Records persist through configured repository; full production durability is not established","Every transition emits actor timestamp prior/new state and content/lineage hashes","API/service returns immutable version IDs and current lifecycle state","Invalid transition self-approval or mutation after approval/retirement is rejected","Run governance and CFO domain tests","tests/test_epic03_governance.py;tests/test_cfo_domain.py","src/cfo_platform/governance.py;tests/test_epic03_governance.py","Production identity and complete durable repositories are incomplete","Security reviewer"
"DEV-DATA-012","current","ready","Governance","Governed run lifecycle and restart","DBA","critical","CFO_GOVERNANCE_DATABASE_PATH points to a writable test SQLite database","Create run via API; validate and approve with distinct roles; recreate app against same database; retrieve lineage","RBAC company scope and segregation of duties are checked before transitions","Service validates lifecycle and preserves immutable approved state","Governed run and audit events survive application recreation against the same SQLite file","Lineage hashes and ordered audit events remain available after restart","Lineage endpoint returns the same governed run and event history","Invalid transition or unauthorized request leaves durable state unchanged","Run focused governance suite and inspect SQLite rows","tests/test_epic03_governance.py","src/cfo_platform/governance_persistence.py;src/cfo_platform/composition.py;tests/test_epic03_governance.py","SQLite is a reference/local durability layer rather than production PostgreSQL","DBA"
"DEV-DATA-013","production_target","planned_blocked","Governance","PostgreSQL governance migration","DBA","critical","Empty PostgreSQL database and migration credentials are available","Apply migrations; start app; execute complete governed run lifecycle; apply migrations again","Migration role has schema rights only; runtime role has least-privilege data rights","Migrations create constraints indexes and transaction-safe tables without application bootstrap races","Lifecycle and audit data survive API/database restarts and migration re-run is safe","Foreign keys immutable-state constraints event ordering and actor/correlation metadata are retained","API behavior matches reference contract and migration status is observable","Failed migration rolls back or stops deployment; runtime cannot silently create incompatible schema","Run migration and restart integration suite; inspect schema and query plan","manual database UAT","src/cfo_platform/governance_persistence.py;docs/backend-production-integration-roadmap.md","PostgreSQL adapter and migration framework are not implemented","DBA"
